Theme,Category_Type,Item,Group,Frequency (%)
Livelihoods/Economy,Sub-category,Infrastructures,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Infrastructures,LCM (n=68),1.47
Livelihoods/Economy,Sub-category,Infrastructures,Interviews (n=47),2.13
Livelihoods/Economy,Sub-category,Infrastructures,Workshops (n=65),1.54
Livelihoods/Economy,Sub-category,Infrastructures,Female (n=14),0.0
Livelihoods/Economy,Sub-category,Infrastructures,Male (n=33),3.03
Human -Nature Relations,Sub-category,Human-nature,KI (n=15),0.0
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,KI (n=15),20.0
Human -Nature Relations,Sub-category,Human-nature,Experts (n=29),6.9
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,Experts (n=29),6.9
Human -Nature Relations,Sub-category,Human-nature,LCM (n=68),0.0
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,LCM (n=68),7.35
Human -Nature Relations,Sub-category,Human-nature,Interviews (n=47),0.0
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,Interviews (n=47),8.51
Human -Nature Relations,Sub-category,Human-nature,Workshops (n=65),3.08
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,Workshops (n=65),9.23
Human -Nature Relations,Sub-category,Human-nature,Female (n=14),0.0
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,Female (n=14),14.29
Human -Nature Relations,Sub-category,Human-nature,Male (n=33),0.0
Human -Nature Relations,Theme Total,TOTAL: Human -Nature Relations,Male (n=33),6.06
Human -Nature Relations,Sub-category,Care/Protection,KI (n=15),6.67
Human -Nature Relations,Sub-category,Care/Protection,Experts (n=29),0.0
Human -Nature Relations,Sub-category,Care/Protection,LCM (n=68),2.94
Human -Nature Relations,Sub-category,Care/Protection,Interviews (n=47),2.13
Human -Nature Relations,Sub-category,Care/Protection,Workshops (n=65),3.08
Human -Nature Relations,Sub-category,Care/Protection,Female (n=14),0.0
Human -Nature Relations,Sub-category,Care/Protection,Male (n=33),3.03
Human -Nature Relations,Sub-category,Unique/Beautiful,KI (n=15),0.0
Human -Nature Relations,Sub-category,Unique/Beautiful,Experts (n=29),0.0
Human -Nature Relations,Sub-category,Unique/Beautiful,LCM (n=68),2.94
Human -Nature Relations,Sub-category,Unique/Beautiful,Interviews (n=47),0.0
Human -Nature Relations,Sub-category,Unique/Beautiful,Workshops (n=65),3.08
Human -Nature Relations,Sub-category,Unique/Beautiful,Female (n=14),0.0
Human -Nature Relations,Sub-category,Unique/Beautiful,Male (n=33),0.0
Human -Nature Relations,Sub-category,Use Accessability,KI (n=15),13.33
Human -Nature Relations,Sub-category,Use Accessability,Experts (n=29),0.0
Human -Nature Relations,Sub-category,Use Accessability,LCM (n=68),0.0
Human -Nature Relations,Sub-category,Use Accessability,Interviews (n=47),4.26
Human -Nature Relations,Sub-category,Use Accessability,Workshops (n=65),0.0
Human -Nature Relations,Sub-category,Use Accessability,Female (n=14),7.14
Human -Nature Relations,Sub-category,Use Accessability,Male (n=33),3.03
Human -Nature Relations,Sub-category,Pollution,KI (n=15),0.0
Human -Nature Relations,Sub-category,Pollution,Experts (n=29),0.0
Human -Nature Relations,Sub-category,Pollution,LCM (n=68),1.47
Human -Nature Relations,Sub-category,Pollution,Interviews (n=47),2.13
Human -Nature Relations,Sub-category,Pollution,Workshops (n=65),0.0
Human -Nature Relations,Sub-category,Pollution,Female (n=14),7.14
Human -Nature Relations,Sub-category,Pollution,Male (n=33),0.0
