Theme,Core_idea,Pct,Group,Level,Category,Group_Label
Livelihoods/Economy,Livelihoods,53.85,Workshops,Theme,Method,Workshops (n=65)
Livelihoods/Economy,Livelihoods,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Livelihoods,3.45,Experts,Theme,Stakeholder,Experts (n=29)
Livelihoods/Economy,Livelihoods,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Livelihoods,20.0,KI,Theme,Stakeholder,KI (n=15)
Livelihoods/Economy,Livelihoods,7.35,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Livelihoods,79.41,LCM,Theme,Stakeholder,LCM (n=68)
Livelihoods/Economy,Tourism,14.89,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Tourism,15.38,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Tourism,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Tourism,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Tourism,25.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Trade,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Trade,0.0,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Trade,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Trade,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Trade,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Livelihoods/Economy,Transport,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Livelihoods/Economy,Transport,9.23,Workshops,Core Idea,Method,Workshops (n=65)
Livelihoods/Economy,Transport,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Livelihoods/Economy,Transport,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Livelihoods/Economy,Transport,10.29,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Adminstrative,8.51,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Adminstrative,3.08,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Adminstrative,3.45,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Adminstrative,20.0,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Adminstrative,2.94,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Between,4.26,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Between,4.62,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Between,10.34,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Between,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Between,0.0,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Interface,4.26,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Interface,80.85,Interviews,Theme,Method,Interviews (n=47)
Spatial relationship,Interface,21.54,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Interface,92.31,Workshops,Theme,Method,Workshops (n=65)
Spatial relationship,Interface,44.83,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Interface,96.55,Experts,Theme,Stakeholder,Experts (n=29)
Spatial relationship,Interface,13.33,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Interface,80.0,KI,Theme,Stakeholder,KI (n=15)
Spatial relationship,Interface,1.47,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Interface,85.29,LCM,Theme,Stakeholder,LCM (n=68)
Spatial relationship,Part of,31.91,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Part of,15.38,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Part of,6.9,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Part of,6.67,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Part of,32.35,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Proximity,29.79,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Proximity,40.0,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Proximity,31.03,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Proximity,26.67,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Proximity,39.71,LCM,Core Idea,Stakeholder,LCM (n=68)
Spatial relationship,Surrounded,2.13,Interviews,Core Idea,Method,Interviews (n=47)
Spatial relationship,Surrounded,7.69,Workshops,Core Idea,Method,Workshops (n=65)
Spatial relationship,Surrounded,0.0,Experts,Core Idea,Stakeholder,Experts (n=29)
Spatial relationship,Surrounded,0.0,KI,Core Idea,Stakeholder,KI (n=15)
Spatial relationship,Surrounded,8.82,LCM,Core Idea,Stakeholder,LCM (n=68)
